EBM,Date,Unit/Pen,Pre/Post Fish,Format,Volume (L),Filter weight (g),Biomass (g/L),sample,Aeromonas,Aeromonas hydrophila,Aeromonas salmonicida,Aliivibrio,Aliivibrio salmonicida,Caligus,Caligus rogercresseyi,Candidatus,Chryseobacterium,Flavobacterium,Flavobacterium branchiophilum,Flavobacterium psychrophilum,Francisella,Hafnia,Klebsiella,Klebsiella oxytoca,Moritella,Moritella viscosa,Piscirickettsia,Piscirickettsia salmonis,Pseudomonas,Pseudomonas fluorescens,Shewanella,Shewanella colwelliana,Staphylococcus,Staphylococcus epidermidis,Staphylococcus warneri,Streptococcus,Tenacibaculum,Tenacibaculum maritimum,Vibrio,Vibrio alginolyticus,Vibrio anguillarum,Vibrio campbellii,Vibrio harveyi,Vibrio parahaemolyticus,Vibrio splendidus,Vibrio tubiashii
EBM749,2024-10-11T12:37:57+00:00,7.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM750,2024-10-11T12:37:57+00:00,1.0,Pre,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM751,2024-10-11T12:37:57+00:00,,,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM752,2024-10-11T12:37:57+00:00,,,Water (Unfiltered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM898,2024-10-22T11:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM899,2024-10-22T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM900,2024-10-22T11:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM901,2024-10-22T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM902,2024-10-22T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM903,2024-10-22T11:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM904,2024-10-22T11:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM905,2024-10-22T11:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM906,2024-10-22T11:00:00+00:00,1.0,Post,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM907,2024-10-22T11:00:00+00:00,7.0,Pre,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM908,2024-10-22T11:00:00+00:00,1.0,Pre,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM909,2024-10-22T11:00:00+00:00,7.0,Post,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM910,2024-11-05T12:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM911,2024-11-05T12:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM912,2024-11-05T12:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM913,2024-11-05T12:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM914,2024-11-05T12:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM915,2024-11-05T12:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM916,2024-11-05T12:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM917,2024-11-05T12:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM918,2024-11-05T12:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM919,2024-11-05T12:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM920,2024-11-05T12:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM921,2024-11-05T12:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM922,2024-11-05T12:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM923,2024-11-05T12:00:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM924,2024-11-05T12:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM925,2024-11-05T12:00:00+00:00,1.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM926,2024-11-05T12:00:00+00:00,7.0,Pre,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM927,2024-11-05T12:00:00+00:00,1.0,Pre,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM928,2024-11-05T12:00:00+00:00,1.0,Post,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM929,2024-11-05T12:00:00+00:00,7.0,Post,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM1021,2024-11-28T13:40:00+00:00,7.0,,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM1022,2024-11-28T13:40:00+00:00,7.0,,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM1023,2024-11-28T13:40:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM1024,2024-11-28T13:40:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM1025,2024-11-28T13:40:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM1026,2024-11-28T13:40:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM1027,2024-11-28T13:40:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM1028,2024-11-28T13:40:00+00:00,7.0,,Mucosal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM1029,2024-11-28T13:40:00+00:00,7.0,Post,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM1030,2024-11-28T13:40:00+00:00,7.0,Pre,Water (Filter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
